candidate,dataset,subject,edge_index,dense_samples,dense_length_mm,chord_length_mm,relative_length_error,mean_approximation_error_mm,max_approximation_error_mm,median_radius_mm,max_error_over_median_radius,containment_fraction
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1413,7,3.0840959671002626,3.041972245066655,0.013658369416180453,0.1166165479953696,0.22063289308150036,0.800000011920929,0.27579111224226766,0.96
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1414,9,4.811951891223314,4.761815636096953,0.01041910980402908,0.16736342995864728,0.2993375482452199,0.800000011920929,0.37417192973092867,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1415,2,0.834074431074115,0.834074431074115,0.0,0.0,0.0,0.6979821878130035,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1416,2,0.8388822502784659,0.8388822502784659,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1417,3,1.7001131514268608,1.6995894111363479,0.00030806201932699606,0.007032725932530231,0.021098177797590694,0.4687499701976776,0.045009448829817174,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1418,2,1.0389673181549715,1.0389673181549715,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1419,2,0.4687499701976776,0.4687499701976776,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1420,7,4.578963450141958,4.557436130365922,0.0047013521751018165,0.09150533451098868,0.18038958960662582,0.6629125652155398,0.2721167150421622,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1421,5,3.369789368215062,3.325742005091896,0.013071251140689865,0.11941154085601684,0.24494989279336343,0.9272144054283292,0.26417826487521856,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1422,4,1.6995074144377198,1.6844184054672173,0.008878460218718524,0.045923927803318734,0.09197384717811305,0.6629125652155398,0.13874204835476098,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1423,2,0.9272144054283292,0.9272144054283292,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1424,2,1.0389673181549715,1.0389673181549715,0.0,0.0,0.0,0.5658312677066086,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1425,4,1.653119097503242,1.6178809690815945,0.021316146232215623,0.06924723645644179,0.13856189536479044,0.6629125652155398,0.20901986571900075,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1426,6,3.1659323330942235,3.140242929440339,0.008114324928978142,0.09275768624189368,0.18232098654543322,0.9272144054283292,0.196633039217299,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1427,4,2.062048537728597,2.0390689875634807,0.01114403940773821,0.06123478187798213,0.12938831461416336,0.7314562885682343,0.17689138317127653,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1428,7,4.307431315535325,4.27004976235541,0.008678386361053173,0.12861928882672038,0.22641950176229747,0.6629125652155398,0.34155258723852866,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1429,6,3.596518089380696,3.569528456958469,0.007504378332453892,0.09901357752506414,0.17465539621606346,0.6629125652155398,0.26346671549252637,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1430,7,3.053923224993158,3.015140824559361,0.012699206095426315,0.10658380426837007,0.18243014670391383,0.6629125652155398,0.2751948843277671,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1431,7,2.9429780719148777,2.886434278091812,0.019213121009180587,0.10527643180787527,0.19732738109218403,0.4687499701976776,0.4209651064275666,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1432,2,0.6336832553098984,0.6336832553098984,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1433,2,0.5868485783790204,0.5868485783790204,0.0,0.0,0.0,0.5658312677066086,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1434,6,2.545814959601119,2.5309641605624558,0.005833416518610647,0.05868015616111031,0.11640707704104554,0.4687499701976776,0.24833511347628512,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1435,2,0.818996481093934,0.818996481093934,0.0,0.0,0.0,0.6979821878130035,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1436,3,1.4741448675613715,1.468696633996095,0.0036958603493898144,0.021073797543856077,0.06322139263156823,0.4687499701976776,0.13487231285562962,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1437,3,1.1834148079177247,1.1771699239305613,0.00527700341873494,0.020221313689360827,0.06066394106808248,0.4687499701976776,0.12941641583998342,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1438,5,2.8030881062249957,2.7816432162849876,0.007650451618835713,0.07551600517822525,0.1564034416871224,0.6629125652155398,0.2359337413317385,1.0
